issue_type,related_control_areas,conflict_or_gap,normalization_rule
severity_priority_mismatch,threat-intel-freshness-governance and stale-data-signaling,Freshness is high priority in one row but stale signaling is medium in another for same failure mode,If stale or missing threat intel can influence release or update decisions classify as high and block privileged workflows by default
fail_open_vs_fail_closed,operational-fail-safe and stale-data-signaling and threat-intel-freshness-governance,Warn-and-continue completion semantics conflict with recommendations to block on stale or offline intelligence,Allow warnings only for read-only reporting modes and require fail-closed behavior on write merge or release paths
control_text_vs_enforcement_gap,ml-governance-evidence and prompt-injection-defense and ml-threat-modeling,Framework references exist without runtime verification so assurance claims can mislead,Require every declared control to map to at least one executable gate with pass-fail evidence
offline_mode_false_confidence,threat-intel-freshness-governance and stale-data-signaling,Offline and no-NVD mode can still report success and create false confidence,Mandate degraded-state labeling with explicit TTL exception token and partial-assurance status in outputs
schema_rigidity_bypass_pressure,change-control-gates and operational-fail-safe,Exact-column schema can block legitimate safety operations and incentivize bypass,Use strict required subset validation with schema versioning and compatibility checks
automation_scope_conflict,agentic-permission-boundaries and unsafe-output-consumption,Non-interactive broad-write automation conflicts with scoped approvals and policy review,Default to dry-run or read-only and require signed intent for cross-repo or destructive writes
detection_depth_gap,secrets-and-data-loss-prevention and sensitive-information-disclosure-controls,Regex-only detection leaves transformed or novel secrets undetected,Adopt layered detection baseline with quarantine on high-confidence hits and managed false-positive budgets
sampling_vs_decision_consistency,scoring-completeness and risk-decision-criteria,Capped enrichment can truncate severity context while thresholds drive action,Disallow threshold-based action on incomplete datasets unless confidence metadata is explicit
ordering_dependency_gap,risk-decision-criteria and scoring-completeness and threat-intel-freshness-governance,Recommendations lack strict ordering and can produce unstable decisions,Enforce sequence data quality gates then calibrated thresholds then automation actions
cross_domain_policy_fragmentation,operational-fail-safe and change-control-gates and agentic-permission-boundaries and prompt-injection-defense,Independent controls risk contradictory behavior without precedence model,Define policy precedence stack safety preconditions then authorization then data quality then detection then convenience
