audit_id,status,template_file,template_tier,template_agent_name,book_chapter,book_agent_name,category,severity,summary,detail
TA-001,CHANGED,universal/orchestrator.template.md,universal,Orchestrator,Ch 5,Orchestrator,rule-generalization,low,"Template generalizes numbered workflow catalog","Book describes 10 numbered workflows and a domain agent routing table. Template parameterizes these as project-configurable. Tools list adds 'todo' and 'agent' not explicitly named in chapter."
TA-002,CHANGED,universal/navigator.template.md,universal,Navigator,Ch 6,Navigator,name-generalization,low,"Template adds team topology graph; generalizes dependency matrix","Book: 'chapter dependency matrix'. Template: 'component dependencies' + pipeline-graph.md team topology. Functionally equivalent with generalized naming."
TA-003,CHANGED,universal/security.template.md,universal,Security,Ch 7,Security Agent,rule-count-mismatch,medium,"Template has 4 security rules; book has 6","Book defines security rules S-1 through S-6. The template condenses this to S-1 through S-4, omitting some book-project-specific infrastructure protections such as path sanitisation and local credential handling. Eight review triggers match."
TA-004,CHANGED,universal/code-hygiene.template.md,universal,Code Hygiene,Ch 8,Code-Hygiene Agent,scope-redesign,high,"Rule set completely redesigned; technical accuracy split to technical-validator","Book: 16 rules (CH-01 through CH-16) focused on technical accuracy (source fidelity, excerpt accuracy, pipeline descriptions, directory claims, etc.), cross-references, consistency, and formatting. Template: 20 rules (CH-01 through CH-20) focused on file hygiene, script lifecycle, anti-sprawl, modularity, imports, and code quality. The book's technical accuracy auditing (CH-01 through CH-08) has been moved to the new domain agent technical-validator. This is the largest structural divergence in the audit."
TA-005,CHANGED,universal/conflict-auditor.template.md,universal,Conflict Auditor,Ch 9,Conflict Auditor,code-rename + routing-change,medium,"Two conflict codes renamed; routing adds direct delegation","Book categories CITATION_MISSING (CM) and CITATION_MISMATCH (CX) renamed to REFERENCE_MISSING (RM) and REFERENCE_MISMATCH (RX) in template (consistent with reference-manager generalization). Template routes RM/RX directly to @reference-manager and SOURCE_DRIFT to @technical-validator. Book routes all conflicts through conflict-resolution."
TA-006,CHANGED,universal/conflict-resolution.template.md,universal,Conflict Resolution,Ch 10,Conflict-Resolution Agent,detail-expansion,low,"Template adds per-code decision rules","Book describes general ACCEPT/REJECT/REVISE framework with authority hierarchy. Template adds explicit decision rules per conflict code (e.g. TM→use highest-authority term; CC→accept higher-authority claim; AE→verify against external source)."
TA-007,CHANGED,universal/adversarial.template.md,universal,Adversarial,Ch 11,Adversarial Agent,category-reduction,high,"8 presupposition categories reduced to 6; classification system redesigned","Book: 8 categories (DATA_STATE, SYSTEM_STATE, CAUSAL_CLAIM, SCOPE_BOUNDARY, TEMPORAL, BEHAVIORAL, IDENTITY, POLICY). Template: 6 categories (Empirical, Logical, Behavioral, Scope, Temporal, Causal). Dropped IDENTITY and POLICY. Added 'Logical' (not in book). Merged DATA_STATE/SYSTEM_STATE into 'Empirical'. Renamed remaining categories. Template uses simpler 4-question falsification; book describes per-category validation requirements."
TA-008,CHANGED,universal/agent-updater.template.md,universal,Agent Updater,Ch 12,Agent Updater,detail-expansion,low,"Template adds PII scan and placeholder resolution","Both share change-to-agent impact matrix, invariant core preservation, living-document policy. Template adds security scans for PII and unresolved placeholders (generic concerns for template instantiation)."
TA-009,CHANGED,universal/agent-refactor.template.md,universal,Agent Refactor,Ch 13,Agent Refactorer,spec-shift,medium,"Template emphasizes YAML frontmatter compliance; book emphasizes violation codes","Book: 4-condition extraction test, 10 violation codes (AR-01 through AR-10), economics of extraction. Template: YAML frontmatter compliance (6 fields), slug resolution, handoff completeness. Template drops violation codes in favor of spec-field validation."
TA-010,MATCHED,universal/cleanup.template.md,universal,Cleanup,Ch 14,Cleanup Agent,no-change,low,"Essentially consistent","Both implement 4-gate safety architecture, protected-file categories, security clearance requirement. Template parameterizes protected paths with placeholders."
TA-011,GENERALIZED,domain/primary-producer.template.md,domain,Primary Producer,Ch 15,Book-Content Expert,name-generalization,low,"Book-specific agent generalized to domain-agnostic template","'Book-content expert' → 'primary producer'. 'Chapter Briefs' → 'Component Briefs'. HTML-specific composition → format-agnostic {PRIMARY_OUTPUT_DIR}. Core workflow (receive brief, draft, submit for review) preserved."
TA-012,GENERALIZED,domain/quality-auditor.template.md,domain,Quality Auditor,Ch 15,Expert-Critic,name-generalization + formalization,low,"Expert-critic generalized; adds formal defect codes","'Expert-critic' → 'quality auditor'. Adds 4 formal defect codes (Q-STR, Q-LGC, Q-LLM, Q-PRO). Core function (structural/logical/prose-quality audit) preserved."
TA-013,GENERALIZED,domain/cohesion-repairer.template.md,domain,Cohesion Repairer,Ch 15,Argument-Weaver,name-generalization + formalization,low,"Argument-weaver generalized; adds formal failure types","'Argument-weaver' → 'cohesion repairer'. Adds 5 formal failure types (disjointedness, broken given-new chain, missing spine, implicit transitions, topic drift). Section-level scope rules preserved."
TA-014,GENERALIZED,domain/style-guardian.template.md,domain,Style Guardian,Ch 15,Voice-Style Agent,name-generalization,low,"Voice-style agent generalized to style guardian","'Voice-style agent' → 'style guardian'. Three-priority E/A/V audit structure preserved. Exclusive constitutional authority over voice rulings preserved."
TA-015,GENERALIZED,domain/reference-manager.template.md,domain,Reference Manager,Ch 15,Bibliography Manager,name-generalization + expansion,low,"Bibliography manager generalized; adds CRUD and tiered verification","'Bibliography manager' → 'reference manager'. BibTeX/BibLaTeX → generic reference database. Adds explicit CRUD operations and 4-tier verification scheme (DOI/ISBN/URL/personal communication). Anti-fabrication rule preserved."
TA-016,GENERALIZED,domain/format-converter.template.md,domain,Format Converter,Ch 15,HTML-Document-Builder,name-generalization,low,"HTML-document-builder generalized to format converter","'HTML-document-builder' → 'format converter'. HTML→LaTeX pipeline → configurable {CONVERSION_PIPELINE}. Validation approach (structure check, cross-reference survival, content count verification) preserved."
TA-017,GENERALIZED,domain/output-compiler.template.md,domain,Output Compiler,Ch 15,LaTeX Specialist,name-generalization + expansion,low,"LaTeX specialist generalized to output compiler; adds BUILD-MANIFEST","'LaTeX specialist' → 'output compiler'. LaTeX assembly → generic deliverable assembly. Adds BUILD-MANIFEST.md with component listing, sizes, hashes. Core responsibility (assemble converted components in order, resolve cross-references) preserved."
TA-018,GENERALIZED,domain/visual-designer.template.md,domain,Visual Designer,Ch 15,Graphviz Expert,name-generalization,low,"Graphviz expert generalized to visual designer","'Graphviz expert' → 'visual designer'. Graphviz DOT language → configurable {DIAGRAM_TOOLS}. Consistent naming, revision history, source-file preservation rules preserved."
TA-019,GENERALIZED,workstream-expert.template.md,other,Workstream Expert,Ch 5/15,Chapter Expert,name-generalization,low,"Chapter expert generalized to workstream expert","'Chapter expert' → 'workstream expert'. 'Chapter Briefs' → 'Component Briefs'. Template-based instantiation with invariant structure + task-specific knowledge preserved. 3-revision-cycle escalation limit preserved."
TA-020,NEW,domain/technical-validator.template.md,domain,Technical Validator,—,—,new-agent,high,"New domain agent split from book's code-hygiene agent","Read-only domain agent verifying code examples, file paths, API signatures, command invocations, configuration values, and agent file excerpts match source on disk. In the book these responsibilities belong to Code-Hygiene Agent (Ch 8, rules CH-01 through CH-08). The template system splits technical accuracy auditing into this separate domain agent, while the universal code-hygiene template handles file hygiene and anti-sprawl."
TA-021,NEW,domain/tool-build-system.template.md,domain,Build System Specialist,—,—,new-agent,medium,"New tool-specific agent for build system management","Manages build configuration, dependency resolution, compilation, artifact management. No book chapter counterpart. Part of the template's tool-agent archetype system."
TA-022,NEW,domain/tool-cli.template.md,domain,CLI Tool Specialist,—,—,new-agent,medium,"New tool-specific agent for CLI tool management","Manages CLI tool configuration, execution, output parsing, CI integration. No book chapter counterpart. Part of tool-agent archetype system."
TA-023,NEW,domain/tool-database.template.md,domain,Database Specialist,—,—,new-agent,medium,"New tool-specific agent for database management","Manages schema migrations, parameterized queries, backups, credential rotation. No book chapter counterpart. Part of tool-agent archetype system."
TA-024,NEW,domain/tool-doc-researcher.template.md,domain,Tool Documentation Researcher,—,—,new-agent,medium,"New research agent for tool documentation discovery","Locates official documentation, API surfaces, usage patterns for tools. Partially maps to Docs-Researcher pipeline stage (Ch 18, Stage 1) but is scoped to tool metadata enrichment rather than daily external monitoring."
