phase_id,step_id,phase_name,step_title,description,deliverable,dependencies,priority,effort,notes
0,0.1,Repository Setup,Initialize repository structure,"Create the full directory tree for the module: templates/universal/, templates/domain/, schemas/, src/frameworks/, examples/ (software-project/, research-project/, data-pipeline/). Create placeholder .gitkeep files where needed.","Directory tree at /agentteams/ matching the layout in §5.1 of the plan",None,P0,S,"Run: mkdir -p templates/{universal,domain} schemas src/frameworks examples/{software-project,research-project,data-pipeline} .github/agents"
0,0.2,Repository Setup,Create root README skeleton,"Write a minimal README.md with: project title, one-paragraph description, quick-start command stub, and section placeholders for full CLI reference and description format guide. Mark all incomplete sections with [TODO].","README.md",0.1,P0,S,"Fill in full content in Phase 8; create skeleton now so the file exists."
0,0.3,Repository Setup,Create .gitignore,"Add .gitignore covering Python artifacts (__pycache__, *.pyc, .venv/, dist/, *.egg-info/), macOS artifacts (.DS_Store), test artifacts (.pytest_cache/, htmlcov/), and generated team output if any.".gitignore",0.1,P0,XS,None
0,0.4,Repository Setup,Initialize Python package structure,"Create src/__init__.py, src/frameworks/__init__.py. Create build_team.py as an empty stub with a TODO comment. This establishes the import paths used throughout development.","src/__init__.py, src/frameworks/__init__.py, build_team.py stub",0.1,P0,S,None
0,0.5,Repository Setup,Define placeholder syntax convention,"Document and enforce the placeholder syntax used across all templates: {PLACEHOLDER_NAME} for auto-resolvable fields; {MANUAL:PLACEHOLDER_NAME} for fields requiring manual completion. Write this to templates/PLACEHOLDER-CONVENTIONS.md.","templates/PLACEHOLDER-CONVENTIONS.md",0.2,P0,S,"This convention must be established before any templates are authored."
1,1.1,Template Library,Author orchestrator template,"Write templates/universal/orchestrator.template.md. Include: YAML front matter with all universal + domain agent slug placeholders in agents: list; full handoffs block with one handoff per downstream agent; Invariant Core section with all eight constitutional rules; Workflows section with numbered step sequences for each workflow type (produce, review, audit, cleanup, output-compile); Authority Hierarchy section; Domain Agent Routing table.","templates/universal/orchestrator.template.md",0.5,P1,L,"This is the highest-complexity template. Draw directly from the book project's orchestrator.agent.md as the reference. Parameterize: project name, primary deliverable name, output directory names, domain agent slugs."
1,1.2,Template Library,Author navigator template,"Write templates/universal/navigator.template.md. Include: read-only tools declaration; project map maintenance procedure; structural query procedure; dependency tracking table (parameterized for project workstreams); invariant rules (never answer from memory, regenerate map after structural changes, read-oriented).","templates/universal/navigator.template.md",0.5,P1,M,None
1,1.3,Template Library,Author security template,"Write templates/universal/security.template.md. Include: highest-priority designation; read-only tools; mandatory review triggers table (generalized from book project triggers: file deletion, agent file modification, external repo write, credential-adjacent content, bulk edit ≥3 files, unverified reference addition); four security rules (credentials, read-only external repos, reference integrity, destructive operations); PASS/HALT output format.","templates/universal/security.template.md",0.5,P1,M,"Security template must be the strictest — HALT directive must be non-negotiable."
1,1.4,Template Library,Author adversarial template,"Write templates/universal/adversarial.template.md. Include: read-only tools; five-step critique protocol (extract presuppositions, classify, challenge, cascade analysis, synthesize); presupposition categories table; output format specification; rules (invoked before destructive/irreversible plans, not an obstructor, cascade analysis required for every challenged presupposition).","templates/universal/adversarial.template.md",0.5,P1,M,None
1,1.5,Template Library,Author conflict-auditor template,"Write templates/universal/conflict-auditor.template.md. Include: audit scope (each project output layer); conflict categories table (TERM_MISMATCH, CLAIM_CONFLICT, ATTRIBUTION_ERROR, SOURCE_DRIFT, CITATION_MISSING, COUNT_MISMATCH, HIERARCHY_CONFLICT, STALE_REFERENCE, PHANTOM_ENTRY); conflict log format; delegation rules (route to bibliography-manager or technical-validator as appropriate); handoff to conflict-resolution.","templates/universal/conflict-auditor.template.md",0.5,P1,M,None
1,1.6,Template Library,Author conflict-resolution template,"Write templates/universal/conflict-resolution.template.md. Include: ACCEPT/REJECT/REVISE decision framework; decision criteria per conflict category; escalation rule (unresolvable conflicts go to orchestrator); resolution log update procedure.","templates/universal/conflict-resolution.template.md",1.5,P1,M,None
1,1.7,Template Library,Author cleanup template,"Write templates/universal/cleanup.template.md. Include: protected file categories table (parameterized for project output types); four mandatory safety checks (reference scan, import/include scan, content inspection, security clearance); artifact pattern table (parameterized for project tool stack); execution procedure; removal report format.","templates/universal/cleanup.template.md",0.5,P1,M,None
